exhaustive_data,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9 
0.0496083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0476333,-999,-999,-999,0.0476333,-999,-999,-999,-999,-999,-999
0.045325,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0426333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.03955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0378,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0376167,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0393167,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.039075,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0399167,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0388583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0406083,-999,-999,-999,-999,-999,-999,-999,0.0406083,-999,-999
0.0378583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.039175,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.039475,-999,-999,-999,-999,-999,-999,0.039475,-999,-999,-999
0.0407,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0419333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0423,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.042925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0399417,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0399417
0.0372,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0360583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0335333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0312917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0284333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0276917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0276833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0278083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0279083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0279917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0290667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0310917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0306083,-999,0.0306083,-999,-999,-999,-999,-999,-999,-999,-999
0.028075,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0276333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0267083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0280083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.029675,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.032425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
